Operating System,Graphics Processing Type,Processor Speed,Color,GPU,Release Year,Brand,Processor,SSD Capacity,Price,Screen Size,RAM Size,Resolution
10,Integrated,3,Black,Intel UHD Graphics 620,2021,Dell,5,256,1018.69,15.6,8,2073600
10,Integrated,2.8,Gray,Intel Iris Xe Graphics,2020,Lenovo,7,512,953.96,14,16,2073600
10,Dedicated,2.4,Gray,NVIDIA GeForce RTX 3060,2021,MSI,7,1000,885.82,15.6,16,2073600
10.5,Integrated,1.6,Silver,Intel HD Graphics 620,2018,HP,5,256,882.41,14,8,2073600
10.5,Integrated,1.9,Silver,Intel UHD Graphics 620,2020,HP,7,512,971,14,16,2073600
11,Integrated,1.3,Gray,Intel Iris Xe Graphics,2022,Lenovo,5,512,1056.17,15.6,8,2073600
10,Integrated,1.1,Black,Intel UHD Graphics,2022,ASUS,5,128,1022.07,13.3,4,2073600
11.5,Integrated,1.7,Black,Intel HD Graphics 620,2018,Dell,5,256,919.86,14,16,2073600
10,Integrated,2.4,Black,Intel HD Graphics 520,2017,Dell,5,256,711.22,12.5,8,1049088
10,Integrated,1.3,Black,Integrated graphics,2019,Google,5,128,857.64,13,16,2073600
10.5,Integrated,2.6,Black,Intel HD Graphics 500,2016,Lenovo,7,256,1022.03,14,16,2073600
10,Dedicated,4.2,Blue,Intel Iris Xe Graphics,2022,Dynabook Toshiba,5,256,853.46,13.3,8,2073600
11,Integrated,2.7,Gray,Intel UHD Graphics 600,2021,CHUWI,5,1000,896.01,14,8,3110400
11.5,Integrated,1.7,Black,Intel UHD Graphics 620,2018,Dell,5,256,885.79,14,8,1049088
11,Integrated,3,Gray,Intel UHD Graphics,2021,Lenovo,3,128,1044.25,14,4,2073600
11,Integrated,3.5,Black,Intel HD Graphics 620,2019,Dell,5,1000,1022.1,14,16,2073600
11.5,Integrated,1.9,Silver,Intel UHD Graphics 620,2018,HP,7,256,920.4,13.3,16,2073600
10,Dedicated,4,Black,NVIDIA GeForce GTX 1650 Ti,2020,Lenovo,4,256,998.25,15.6,8,2073600
11,Dedicated,2.4,Grey,Intel Iris Xe Graphics,2020,Lenovo,5,256,857.64,14,8,2073600
11.5,Integrated,2.4,Black,Intel HD Graphics 520,2018,Dell,5,1000,626.92,13,16,1049088
10.5,Integrated,2.8,Black,Intel HD Graphics 620,2019,Dell,7,256,988.03,15.6,16,2073600
10,Integrated,2.6,Black,AMD Radeon R5,2017,Dell,5,480,1022.1,15.6,16,2073600
10.5,Integrated,2.1,Silver,AMD Radeon Graphics,2020,HP,4,256,1045.91,14,16,2304000
10,Dedicated,1.6,Silver,Intel UHD Graphics 620,2019,Microsoft,5,128,851.75,12.3,8,4990464
10,Integrated,3,Black,Intel UHD Graphics 620,2020,Dell,5,256,1076.58,15.6,8,2073600
10,Integrated,3.6,Black,Intel HD Graphics 4000,2014,Lenovo,7,500,1022.07,14.1,16,1049088
10,Integrated,3.6,Black,Intel HD Graphics 4000,2014,Lenovo,7,500,1022.07,14.1,16,1049088
11.5,Integrated,1.7,Black,Intel UHD Graphics 620,2019,Dell,5,256,865.48,14,8,1049088
10.5,Integrated,2.1,Silver,AMD Radeon Graphics,2020,HP,4,256,1045.91,14,16,2304000
10,Dedicated,1.6,Silver,Intel UHD Graphics 620,2019,Microsoft,5,128,851.75,12.3,8,4990464
11.5,Integrated,2.6,Black,Intel HD Graphics 620,2018,Dell,5,1000,626.92,12.5,16,2073600
10.5,Integrated,2.6,Black,Intel HD Graphics 500,2016,Lenovo,7,256,953.79,14,8,2073600
10,Integrated,2,Any,Intel HD Graphics,2018,Intel,5,256,543.83,13,16,1049088
11.5,Integrated,1.6,Black,Intel UHD Graphics 620,2019,Lenovo,5,256,1087.7,13.3,8,2073600
10.5,Integrated,2.8,Black,Intel HD Graphics 620,2017,Lenovo,7,512,817.68,14,16,2073600
10.5,Integrated,1.8,Silver,Intel UHD Graphics,2020,Dell,7,256,1022.1,14,16,2073600
11,Integrated,2.4,Black,Nvidia GT 920M,2019,Dell,7,256,916.22,15.6,8,1049088
11,Integrated,1.8,Silver,Intel UHD Graphics 620,2014,HP,7,512,851.72,15.6,8,2073600
11,Integrated,1.8,Silver,Intel UHD Graphics 620,2014,HP,7,256,919.86,15.6,16,2073600
11.5,Dedicated,2.7,Black,Nvidia M1200,2018,Dell,7,512,885.82,15.6,32,2073600
11,Integrated,2.7,Silver,Intel HD Graphics,2022,Fusion5,5,512,836.73,15.6,12,2073600
11.5,Integrated,1.9,Black,Intel UHD Graphics 620,2019,Dell,5,256,832.54,13.3,8,2073600
11.5,Integrated,2.6,Black,Intel HD Graphics 620,2018,Dell,5,1000,731.51,12.5,16,2073600
