Operating System,Graphics Processing Type,Processor Speed,Color,GPU,Release Year,Brand,Processor,SSD Capacity,Price,Screen Size,RAM Size,Resolution
Windows 10 Home,Integrated/On-Board Graphics,3.00 GHz,Black,Intel UHD Graphics 620,(Refurbished in 2022 by MAR),Dell,Intel Core i5,256 GB,"ILS 1,018.69",15.6 in,8,1920 x 1080
Windows 10 Home,Integrated/On-Board Graphics,2.80 GHz,Gray,Intel Iris Xe Graphics,2020,Lenovo,Intel Core i7 11th Gen.,512 GB,ILS 953.96,14 in,16 GB,1920 x 1080
Windows 10 Home,Dedicated Graphics,2.40 GHz,Gray,NVIDIA GeForce RTX 3060,2021,MSI,Intel Core i7 11th Gen.,1 TB,ILS 885.82,15.6 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,1.60 GHz,Silver,Intel HD Graphics 620,2018,HP,Intel Core i5 8th Gen.,256 GB,ILS 882.41,14 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,1.90 GHz,Silver,Intel UHD Graphics 620,2020,HP,Intel Core i7 8th Gen.,512 GB,ILS 971.00,14 in,16 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,1.30 GHz,Gray,Intel Iris Xe Graphics,2022,Lenovo,Intel Core i5 12th Gen.,512 GB,"ILS 1,056.17",15.6 in,8 GB,1920 x 1080
Windows 11 home S,Integrated/On-Board Graphics,1.10 GHz,Black,Intel UHD Graphics,2022,ASUS,Intel Pentium Silver,128 GB,"ILS 1,022.07",13.3 in,4 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.70 GHz,Black,Intel HD Graphics 620,2018,Dell,Intel Core i5 8th Gen.,256 GB,ILS 919.86,14 in,16 GB,1920 x 1080
Windows 10 Professional,Integrated/On-Board Graphics,2.40 GHz,Black,Intel HD Graphics 520,2017,Dell,Intel Core i5 6th Gen.,256 GB,ILS 711.22,12.5 in,8 GB,1366 x 768
Chrome OS,Integrated/On-Board Graphics,1.30 GHz,Black,Integrated graphics,2019,Google,i5-8th Gen,128 GB,ILS 857.64,"13""",16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel HD Graphics 500,2016,Lenovo,Intel Core i7 6th Gen.,256 GB,"ILS 1,022.03",14 in,16 GB,1920 x 1080
Windows 10,Hybrid Graphics,4.20 GHz,Blue,Intel Iris Xe Graphics,2022,Dynabook Toshiba,Intel Core i5 11th Gen.,256 GB,ILS 853.46,13.3 in,8 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.70 GHz,Gray,Intel UHD Graphics 600,2021,CHUWI,Intel Celeron N5100,1 TB,ILS 896.01,14 in,8 GB,2160 x 1440
Windows 11 Pro,Integrated/On-Board Graphics,1.70 GHz,Black,Intel UHD Graphics 620,2018,Dell,Intel Core i5 8th Gen.,Does Not Apply,ILS 885.79,14 in,8 GB,1366 x 768
Windows 11 Home,Integrated/On-Board Graphics,3 GHz,Gray,Intel UHD Graphics,2021,Lenovo,Intel Core i3 11th Gen.,128 GB,"ILS 1,044.25",14 in,4 GB,1920 x 1080
Windows 11,Integrated/On-Board Graphics,3.50 GHz,Black,Intel HD Graphics 620,2019,Dell,Intel Core i5 8th Gen.,1 TB,"ILS 1,022.10",14 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.90 GHz,Silver,Intel UHD Graphics 620,2018,HP,Intel Core i7 8th Gen.,256 GB,ILS 920.40,13.3 in,16 GB,1920 x 1080
Windows 10 Home,Hybrid Graphics,4.00 GHz,Black,NVIDIA GeForce GTX 1650 Ti,2020,Lenovo,"AMD Ryzen 5, AMD Ryzen 5 4000 Series",256 GB,ILS 998.25,15.6 in,8 GB,1920 x 1080
Windows 11 Home,Hybrid Graphics,2.40 GHz,Grey,Intel Iris Xe Graphics,2020,Lenovo,Intel Core i5 11th Gen.,256 GB,ILS 857.64,14 in,8 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.40 GHz,Black,Intel HD Graphics 520,2018,Dell,Intel Core i5 6th Gen.,1 TB,ILS 626.92,13 in,16 GB,1366 x 768
Windows 10 Pro,Integrated/On-Board Graphics,2.80 GHz,Black,Intel HD Graphics 620,2019,Dell,Intel Core i7 7th Gen.,256 GB,ILS 988.03,15.6 in,16 GB,1920 x 1080
Windows 10 Home,Integrated/On-Board Graphics,2.60 GHz,Black,AMD Radeon R5,2017,Dell,AMD A10 Quad-Core,480GB,"ILS 1,022.10",15.6 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.10 GHz,Silver,AMD Radeon Graphics,2020,HP,AMD Ryzen 5,256 GB,"ILS 1,045.91",14 in,16 GB,1920 x 1200
Windows 10,Intel Uhd 620,1.60 GHz,Silver,Intel UHD Graphics 620,2019,Microsoft,Intel Core i5 8th Gen.,128 GB,ILS 851.75,12.3 in,8 GB,2736 x 1824
Windows 10 Home,Integrated/On-Board Graphics,3.00 GHz,Black,Intel UHD Graphics 620,(Refurbished in 2022 by MAR),Dell,Intel core i5,256 GB,"ILS 1,076.58",15.6 in,8,1920 x 1080
Windows 10,Integrated/On-Board Graphics,3.60 GHz,Black,Intel HD Graphics 4000,2014,Lenovo,Intel Core i7 3rd Gen.,500 GB,"ILS 1,022.07",14.1 in,16 GB,1366 x 768
Windows 10,Integrated/On-Board Graphics,3.60 GHz,Black,Intel HD Graphics 4000,2014,Lenovo,Intel Core i7 3rd Gen.,500 GB,"ILS 1,022.07",14.1 in,16 GB,1366 x 768
Windows 11 Pro,Integrated/On-Board Graphics,1.70 GHz,Black,Intel UHD Graphics 620,2019,Dell,Intel Core i5 8th Gen.,256 GB,ILS 865.48,14 in,8 GB,1366 x 768
Windows 10 Pro,Integrated/On-Board Graphics,2.10 GHz,Silver,AMD Radeon Graphics,2020,HP,AMD Ryzen 5,256 GB,"ILS 1,045.91",14 in,16 GB,1920 x 1200
Windows 10,Intel Uhd 620,1.60 GHz,Silver,Intel UHD Graphics 620,2019,Microsoft,Intel Core i5 8th Gen.,128 GB,ILS 851.75,12.3 in,8 GB,2736 x 1824
Windows 11 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel HD Graphics 620,2018,Dell,Intel Core i5 7th Gen.,1 TB,ILS 626.92,12.5 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel HD Graphics 500,2016,Lenovo,Intel Core i7 6th Gen.,256 GB,ILS 953.79,14 in,8 GB,1920 x 1080
Windows + Ubuntu,Integrated/On-Board Graphics,Various,Any,Intel HD Graphics,Any,Intel,INTEL CORE I5,120 GB - 500 GB,ILS 543.83,12.5-15.6,8 GB/ 16 GB,ANY
Windows 11 Pro,Integrated/On-Board Graphics,1.60GHz,Black,Intel UHD Graphics 620,2019,Lenovo,Intel Core i5 8th Gen.,256 GB,"ILS 1,087.70",13.3 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.80 GHz,Black,Intel HD Graphics 620,2017,Lenovo,Intel Core i7-7600U,512 GB,ILS 817.68,14 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,1.80 GHz,Silver,Intel UHD Graphics,2020,Dell,Intel Core i7 10th Gen.,256 GB,"ILS 1,022.10",14 in,16 GB,1920 x 1080
Windows 11,Integrated/On-Board Graphics,2.40GHz,Black,Nvidia GT 920M,2019,Dell,Intel Core i7 5th Gen.,256 GB,ILS 916.22,15.6 in,8 GB,1366 x 768
Windows 11 Home,Integrated/On-Board Graphics,1.80 GHz,Silver,Intel UHD Graphics 620,2014,HP,Intel Core i7 8th Gen.,512 GB,ILS 851.72,15.6 in,8 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,1.80 GHz,Silver,Intel UHD Graphics 620,2014,HP,Intel Core i7 8th Gen.,256 GB,ILS 919.86,15.6 in,16 GB,1920 x 1080
Windows 11 Pro,Dedicated Graphics,2.70 GHz,Black,Nvidia M1200,2018,Dell,Intel Core i7 6th Gen.,512 GB,ILS 885.82,15.6 in,32 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.70 GHz,Silver,Intel HD Graphics,2022,Fusion5,Intel Core 2 Quad,512 GB,ILS 836.73,15.6 in,12 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.90 GHz,Black,Intel UHD Graphics 620,2019,Dell,Intel Core i5 8th Gen.,256 GB,ILS 832.54,13.3 in,8 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel HD Graphics 620,2018,Dell,Intel Core i5 7th Gen.,1 TB,ILS 731.51,12.5 in,16 GB,1920 x 1080
